Word name	Part of speech	Definition
Abolishing	p. pr. & vb. n.	of Abolish
Abolish	v. t.	To do away with wholly; to annul; to make void; -- said of laws, customs, institutions, governments, etc.; as, to abolish slavery, to abolish folly.
Abolish	v. t.	To put an end to, or destroy, as a physical objects; to wipe out.
Abolishable	a.	Capable of being abolished.
Abolisher	n.	One who abolishes.
Abolishment	n.	The act of abolishing; abolition; destruction.
Abolition	n.	The act of abolishing, or the state of being abolished; an annulling; abrogation; utter destruction; as, the abolition of slavery or the slave trade; the abolition of laws, decrees, ordinances, customs, taxes, debts, etc.
Abolitionism	n.	The principles or measures of abolitionists.
Abolitionist	n.	A person who favors the abolition of any institution, especially negro slavery.
Abolitionize	v. t.	To imbue with the principles of abolitionism.
Aboma	n.	A large South American serpent (Boa aboma).
Abomasum	n.	Alt. of Abomasus
Abomasus	n.	The fourth or digestive stomach of a ruminant, which leads from the third stomach omasum. See Ruminantia.
Abominable	a.	Worthy of, or causing, abhorrence, as a thing of evil omen; odious in the utmost degree; very hateful; detestable; loathsome; execrable.
Abominable	a.	Excessive; large; -- used as an intensive.
Abominableness	n.	The quality or state of being abominable; odiousness.
Abominably	adv.	In an abominable manner; very odiously; detestably.
Abominated	imp. & p. p.	of Abominate
Abominating	p. pr. & vb. n.	of Abominate
Abominate	v. t.	To turn from as ill-omened; to hate in the highest degree, as if with religious dread; loathe; as, to abominate all impiety.
Abomination	n.	The feeling of extreme disgust and hatred; abhorrence; detestation; loathing; as, he holds tobacco in abomination.
Abomination	n.	That which is abominable; anything hateful, wicked, or shamefully vile; an object or state that excites disgust and hatred; a hateful or shameful vice; pollution.
Abomination	n.	A cause of pollution or wickedness.
Aboon	prep.	and adv. Above.
Aboral	a.	Situated opposite to, or away from, the mouth.
Abord	n.	Manner of approaching or accosting; address.
Abord	v. t.	To approach; to accost.
Aboriginal	a.	First; original; indigenous; primitive; native; as, the aboriginal tribes of America.
Aboriginal	a.	Of or pertaining to aborigines; as, a Hindoo of aboriginal blood.
Aboriginal	n.	An original inhabitant of any land; one of the aborigines.
Aboriginal	n.	An animal or a plant native to the region.
Aboriginality	n.	The quality of being aboriginal.
Aboriginally	adv.	Primarily.
Aborigines	n. pl.	The earliest known inhabitants of a country; native races.
Aborigines	n. pl.	The original fauna and flora of a geographical area
Aborsement	n.	Abortment; abortion.
Aborsive	a.	Abortive.
Abort	v. i.	To miscarry; to bring forth young prematurely.
Abort	v. i.	To become checked in normal development, so as either to remain rudimentary or shrink away wholly; to become sterile.
Abort	n.	An untimely birth.
Abort	n.	An aborted offspring.
Aborted	a.	Brought forth prematurely.
Aborted	a.	Rendered abortive or sterile; undeveloped; checked in normal development at a very early stage; as, spines are aborted branches.
Aborticide	n.	The act of destroying a fetus in the womb; feticide.
Abortifacient	v.	Producing miscarriage.
Abortifacient	n.	A drug or an agent that causes premature delivery.
Abortion	n.	The act of giving premature birth; particularly, the expulsion of the human fetus prematurely, or before it is capable of sustaining life; miscarriage.
Abortion	n.	The immature product of an untimely birth.
Abortion	n.	Arrest of development of any organ, so that it remains an imperfect formation or is absorbed.
Abortion	n.	Any fruit or produce that does not come to maturity, or anything which in its progress, before it is matured or perfect; a complete failure; as, his attempt proved an abortion.
Abortional	a.	Pertaining to abortion; miscarrying; abortive.
Abortionist	n.	One who procures abortion or miscarriage.
Abortive	v.	Produced by abortion; born prematurely; as, an abortive child.
Abortive	v.	Made from the skin of a still-born animal; as, abortive vellum.
Abortive	v.	Rendering fruitless or ineffectual.
Abortive	v.	Coming to naught; failing in its effect; miscarrying; fruitless; unsuccessful; as, an abortive attempt.
Abortive	v.	Imperfectly formed or developed; rudimentary; sterile; as, an abortive organ, stamen, ovule, etc.
Abortive	v.	Causing abortion; as, abortive medicines.
Abortive	v.	Cutting short; as, abortive treatment of typhoid fever.
Abortive	n.	That which is born or brought forth prematurely; an abortion.
Abortive	n.	A fruitless effort or issue.
Abortive	n.	A medicine to which is attributed the property of causing abortion.
Abortively	adv.	In an abortive or untimely manner; immaturely; fruitlessly.
Abortiveness	n.	The quality of being abortive.
Abortment	n.	Abortion.
Abought		imp. & p. p. of Aby.
Abounded	imp. & p. p.	of Abound
Abounding	p. pr. & vb. n.	of Abound
Abound	v. i.	To be in great plenty; to be very prevalent; to be plentiful.
Abound	v. i.	To be copiously supplied; -- followed by in or with.
About	prep.	Around; all round; on every side of.
About	prep.	In the immediate neighborhood of; in contiguity or proximity to; near, as to place; by or on (one's person).
About	prep.	Over or upon different parts of; through or over in various directions; here and there in; to and fro in; throughout.
About	prep.	Near; not far from; -- determining approximately time, size, quantity.
About	prep.	In concern with; engaged in; intent on.
About	prep.	On the point or verge of; going; in act of.
About	prep.	Concerning; with regard to; on account of; touching.
About	adv.	On all sides; around.
About	adv.	In circuit; circularly; by a circuitous way; around the outside; as, a mile about, and a third of a mile across.
About	adv.	Here and there; around; in one place and another.
About	adv.	Nearly; approximately; with close correspondence, in quality, manner, degree, etc.; as, about as cold; about as high; -- also of quantity, number, time.
About	adv.	To a reserved position; half round; in the opposite direction; on the opposite tack; as, to face about; to turn one's self about.
About-sledge	n.	The largest hammer used by smiths.
Above	prep.	In or to a higher place; higher than; on or over the upper surface; over; -- opposed to below or beneath.
Above	prep.	Figuratively, higher than; superior to in any respect; surpassing; beyond; higher in measure or degree than; as, things above comprehension; above mean actions; conduct above reproach.
Above	prep.	Surpassing in number or quantity; more than; as, above a hundred. (Passing into the adverbial sense. See Above, adv., 4.)
Above	adv.	In a higher place; overhead; into or from heaven; as, the clouds above.
Above	adv.	Earlier in order; higher in the same page; hence, in a foregoing page.
Above	adv.	Higher in rank or power; as, he appealed to the court above.
Above	adv.	More than; as, above five hundred were present.
Aboveboard	adv.	Above the board or table. Hence: in open sight; without trick, concealment, or deception.
Above-cited	a.	Cited before, in the preceding part of a book or writing.
Abovedeck	a.	On deck; and hence, like aboveboard, without artifice.
Above-mentioned	a.	Alt. of Above-named
Above-named	a.	Mentioned or named before; aforesaid.
Abovesaid	a.	Mentioned or recited before.
Abox	adv. & a.	Braced aback.
Abracadabra	n.	A mystical word or collocation of letters written as in the figure. Worn on an amulet it was supposed to ward off fever. At present the word is used chiefly in jest to denote something without meaning; jargon.
Abradant	n.	A material used for grinding, as emery, sand, powdered glass, etc.
Abraded	imp. & p. p.	of Abrade
Abrading	p. pr. & vb. n.	of Abrade
Abrade	v. t.	To rub or wear off; to waste or wear away by friction; as, to abrade rocks.
Abrade	v. t.	Same as Abraid.
Abrahamic	a.	Pertaining to Abraham, the patriarch; as, the Abrachamic covenant.
Abrahamitic	a.	Alt. of ical
ical	a.	Relating to the patriarch Abraham.
Abraham-man	n.	Alt. of Abram-man
Abram-man	n.	One of a set of vagabonds who formerly roamed through England, feigning lunacy for the sake of obtaining alms.
Abraid	v. t. & i.	To awake; to arouse; to stir or start up; also, to shout out.
Abranchial	a.	Abranchiate.
Abranchiata	n. pl.	A group of annelids, so called because the species composing it have no special organs of respiration.
Abranchiate	a.	Without gills.
Abrase	a.	Rubbed smooth.
Abrasion	n.	The act of abrading, wearing, or rubbing off; the wearing away by friction; as, the abrasion of coins.
Abrasion	n.	The substance rubbed off.
Abrasion	n.	A superficial excoriation, with loss of substance under the form of small shreds.
Abrasive	a.	Producing abrasion.
Abraum	n.	Alt. of Abraum salts
Abraum salts	n.	A red ocher used to darken mahogany and for making chloride of potassium.
Abraxas	n.	A mystical word used as a charm and engraved on gems among the ancients; also, a gem stone thus engraved.
Abray	v.	See Abraid.
Abreast	adv.	"Side by side, with breasts in a line; as, ""Two men could hardly walk abreast."""
Abreast	adv.	Side by side; also, opposite; over against; on a line with the vessel's beam; -- with of.
Abreast	adv.	Up to a certain level or line; equally advanced; as, to keep abreast of [or with] the present state of science.
Abreast	adv.	At the same time; simultaneously.
Abregge	v. t.	See Abridge.
Abrenounce	v. t.	To renounce.
Abrenunciation	n.	Absolute renunciation or repudiation.
Abreption	n.	A snatching away.
Abreuvoir	n.	The joint or interstice between stones, to be filled with mortar.
Abricock	n.	See Apricot.
Abridged	imp. & p. p.	of Abridge
Abridging	p. pr. & vb. n.	of Abridge
Abridge	v. t.	To make shorter; to shorten in duration; to lessen; to diminish; to curtail; as, to abridge labor; to abridge power or rights.
Abridge	v. t.	To shorten or contract by using fewer words, yet retaining the sense; to epitomize; to condense; as, to abridge a history or dictionary.
Abridge	v. t.	To deprive; to cut off; -- followed by of, and formerly by from; as, to abridge one of his rights.
Abridger	n.	One who abridges.
Abridgment	n.	The act of abridging, or the state of being abridged; diminution; lessening; reduction or deprivation; as, an abridgment of pleasures or of expenses.
Abridgment	n.	An epitome or compend, as of a book; a shortened or abridged form; an abbreviation.
Abridgment	n.	That which abridges or cuts short; hence, an entertainment that makes the time pass quickly.
Abroach	v. t.	To set abroach; to let out, as liquor; to broach; to tap.
Abroach	adv.	Broached; in a condition for letting out or yielding liquor, as a cask which is tapped.
Abroach	adv.	Hence: In a state to be diffused or propagated; afoot; astir.
Abroad	adv.	At large; widely; broadly; over a wide space; as, a tree spreads its branches abroad.
Abroad	adv.	Without a certain confine; outside the house; away from one's abode; as, to walk abroad.
Abroad	adv.	Beyond the bounds of a country; in foreign countries; as, we have broils at home and enemies abroad.
Abroad	adv.	Before the public at large; throughout society or the world; here and there; widely.
Abrogable	a.	Capable of being abrogated.
Abrogate	a.	Abrogated; abolished.
Abrogated	imp. & p. p.	of Abrogate
Abrogating	p. pr. & vb. n.	of Abrogate
Abrogate	v. t.	To annul by an authoritative act; to abolish by the authority of the maker or his successor; to repeal; -- applied to the repeal of laws, decrees, ordinances, the abolition of customs, etc.
Abrogate	v. t.	To put an end to; to do away with.
Abrogation	n.	The act of abrogating; repeal by authority.
Abrogative	a.	Tending or designed to abrogate; as, an abrogative law.
Abrogator	n.	One who repeals by authority.
Abrood	adv.	In the act of brooding.
Abrook	v. t.	To brook; to endure.
Abrupt	a.	Broken off; very steep, or craggy, as rocks, precipices, banks; precipitous; steep; as, abrupt places.
Abrupt	a.	Without notice to prepare the mind for the event; sudden; hasty; unceremonious.
